Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Dead weight tons in thousands Footnote,Percentage of total fleet,Percentage of total fleet Footnote,Number of ships,Number of ships Footnote
2015,834,"Tanzania, United Republic of",124,"Canada",0,,0,,0,
2015,834,"Tanzania, United Republic of",1250,"Developing economies: Oceania",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",1300,"Transition economies",14.237,,0.11395,,3,
2015,834,"Tanzania, United Republic of",132,"Cabo Verde",0,,0,,0,
2015,834,"Tanzania, United Republic of",136,"Cayman Islands",0,,0,,0,
2015,834,"Tanzania, United Republic of",144,"Sri Lanka",0,,0,,0,
2015,834,"Tanzania, United Republic of",152,"Chile",0,,0,,0,
2015,834,"Tanzania, United Republic of",156,"China",4.2,,0.03362,,1,
2015,834,"Tanzania, United Republic of",158,"China, Taiwan Province of",0,,0,,0,
2015,834,"Tanzania, United Republic of",170,"Colombia",0,,0,,0,
2015,834,"Tanzania, United Republic of",174,"Comoros",0,,0,,0,
2015,834,"Tanzania, United Republic of",175,"Mayotte",0,,0,,0,
2015,834,"Tanzania, United Republic of",178,"Congo",0,,0,,0,
2015,834,"Tanzania, United Republic of",180,"Congo, Dem. Rep. of the",0,,0,,0,
2015,834,"Tanzania, United Republic of",184,"Cook Islands",0,,0,,0,
2015,834,"Tanzania, United Republic of",188,"Costa Rica",0,,0,,0,
2015,834,"Tanzania, United Republic of",191,"Croatia",0,,0,,0,
2015,834,"Tanzania, United Republic of",192,"Cuba",0,,0,,0,
2015,834,"Tanzania, United Republic of",196,"Cyprus",0,,0,,0,
2015,834,"Tanzania, United Republic of",204,"Benin",0,,0,,0,
2015,834,"Tanzania, United Republic of",208,"Denmark",1.3,,0.0104,,1,
2015,834,"Tanzania, United Republic of",2101,"Developed economies: Asia and Oceania",0,,0,,0,
2015,834,"Tanzania, United Republic of",2102,"Developing economies: Asia and Oceania",12272.363,,98.22485,,118,
2015,834,"Tanzania, United Republic of",2116,"Sub-Saharan Africa excluding South Africa",33.638,,0.26923,,8,
2015,834,"Tanzania, United Republic of",2117,"Africa excluding South Africa",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",212,"Dominica",0,,0,,0,
2015,834,"Tanzania, United Republic of",214,"Dominican Republic",0,,0,,0,
2015,834,"Tanzania, United Republic of",2160,"Developing economies excluding China",12349.344,,98.84098,,135,
2015,834,"Tanzania, United Republic of",2161,"Developing economies excluding LDCs",12323.534,,98.63441,,128,
2015,834,"Tanzania, United Republic of",218,"Ecuador",0,,0,,0,
2015,834,"Tanzania, United Republic of",2200,"M49 developing regions",12353.544,,98.8746,,136,
2015,834,"Tanzania, United Republic of",2205,"M49 developed regions",128.306,,1.02693,,30,
2015,834,"Tanzania, United Republic of",2210,"LDCs (Least developed countries)",30.01,,0.24019,,8,
2015,834,"Tanzania, United Republic of",2211,"LDCs: Africa and Haiti",30.01,,0.24019,,8,
2015,834,"Tanzania, United Republic of",2213,"LDCs: Asia",0,,0,,0,
2015,834,"Tanzania, United Republic of",2216,"LDCs: Islands",0,,0,,0,
2015,834,"Tanzania, United Republic of",222,"El Salvador",0,,0,,0,
2015,834,"Tanzania, United Republic of",2220,"LLDCs (Landlocked developing countries)",0,,0,,0,
2015,834,"Tanzania, United Republic of",2221,"LDCs: Africa",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",2222,"LDCs: Islands and Haiti",3.15,,0.02521,,1,
2015,834,"Tanzania, United Republic of",2230,"SIDS (Small island developing States) (UNCTAD)",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",2231,"SIDS: Atlantic and Indian Ocean",0,,0,,0,
2015,834,"Tanzania, United Republic of",2232,"SIDS: Caribbean",0,,0,,0,
2015,834,"Tanzania, United Republic of",2233,"SIDS: Pacific",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",2250,"SIDS (Small island developing States) (UN-OHRLLS)",30.709,,0.24579,,8,
2015,834,"Tanzania, United Republic of",226,"Equatorial Guinea",0,,0,,0,
2015,834,"Tanzania, United Republic of",231,"Ethiopia",0,,0,,0,
2015,834,"Tanzania, United Republic of",232,"Eritrea",0,,0,,0,
2015,834,"Tanzania, United Republic of",233,"Estonia",0,,0,,0,
2015,834,"Tanzania, United Republic of",234,"Faroe Islands",0,,0,,0,
2015,834,"Tanzania, United Republic of",2370,"Selected exporters of petroleum",11910.084,,95.32526,,54,
2015,834,"Tanzania, United Republic of",2371,"Selected exporters of manufactured goods",75.151,,0.60149,,22,
2015,834,"Tanzania, United Republic of",2372,"Selected exporters of manufactured goods and primary commodities",58.507,,0.46827,,17,
2015,834,"Tanzania, United Republic of",2373,"Selected exporters of agricultural products",103.86,,0.83127,,14,
2015,834,"Tanzania, United Republic of",2374,"Selected exporters of minerals and mining products",0,,0,,0,
2015,834,"Tanzania, United Republic of",2376,"Selected LIFDC (Low-income food-deficit countries)",142.913,,1.14384,,24,
2015,834,"Tanzania, United Republic of",2378,"LIFDC (Low-income food-deficit countries) (FAO)",142.913,,1.14384,,24,
2015,834,"Tanzania, United Republic of",238,"Falkland Islands (Malvinas)",0,,0,,0,
2015,834,"Tanzania, United Republic of",2411,"Net food-importing economies",12366.262,,98.97639,,132,
2015,834,"Tanzania, United Republic of",2412,"Net food-exporting economies",115.588,,0.92514,,34,
2015,834,"Tanzania, United Republic of",2413,"Net food-exporting developing economies",103.581,,0.82903,,28,
2015,834,"Tanzania, United Republic of",2414,"Net food-exporting transition economies",3.18,,0.02545,,1,
2015,834,"Tanzania, United Republic of",2415,"Net food-exporting developed economies",8.827,,0.07065,,5,
2015,834,"Tanzania, United Republic of",2416,"Major net food-exporting economies",57.128,,0.45724,,21,
2015,834,"Tanzania, United Republic of",242,"Fiji",0,,0,,0,
2015,834,"Tanzania, United Republic of",2420,"Net food-importing developing economies",12249.963,,98.04556,,108,
2015,834,"Tanzania, United Republic of",2421,"Net food-importing transition economies",11.057,,0.0885,,2,
2015,834,"Tanzania, United Republic of",2422,"Net food-importing developed economies",105.242,,0.84233,,22,
2015,834,"Tanzania, United Republic of",2423,"Major net food-importing economies",12183.084,,97.51028,,99,
2015,834,"Tanzania, United Republic of",246,"Finland",0,,0,,0,
2015,834,"Tanzania, United Republic of",250,"France, metropolitan",0,,0,,0,
2015,834,"Tanzania, United Republic of",2508,"Industrialized economies (UNIDO)",237.886,,1.90398,,40,
2015,834,"Tanzania, United Republic of",2509,"EIEs (Emerging Industrial Economies) (UNIDO)",12041.785,,96.37936,,90,
2015,834,"Tanzania, United Republic of",251,"France",0,,0,,0,
2015,834,"Tanzania, United Republic of",2510,"Emerging markets",326.395,,2.61238,,66,
2015,834,"Tanzania, United Republic of",2511,"Emerging markets: Africa",32.24,,0.25804,,6,
2015,834,"Tanzania, United Republic of",2512,"Emerging markets: America",0,,0,,0,
2015,834,"Tanzania, United Republic of",2513,"Emerging markets: Asia",253.567,,2.02948,,48,
2015,834,"Tanzania, United Republic of",2514,"Emerging markets: Europe and Kazakhstan",40.588,,0.32486,,12,
2015,834,"Tanzania, United Republic of",258,"French Polynesia",0,,0,,0,
2015,834,"Tanzania, United Republic of",2611,"HIPCs (Heavily indebted poor countries) (IMF)",30.01,,0.24019,,8,
2015,834,"Tanzania, United Republic of",262,"Djibouti",0,,0,,0,
2015,834,"Tanzania, United Republic of",2621,"High-income developing economies",12149.869,,97.24443,,101,
2015,834,"Tanzania, United Republic of",2622,"Middle-income developing economies",65.605,,0.52509,,12,
2015,834,"Tanzania, United Republic of",2623,"Low-income developing economies",138.07,,1.10508,,23,
2015,834,"Tanzania, United Republic of",2624,"Low-income economies (World Bank)",138.07,,1.10508,,23,
2015,834,"Tanzania, United Republic of",2625,"Lower-middle-income economies (World Bank)",51.112,,0.40909,,9,
2015,834,"Tanzania, United Republic of",2626,"Upper-middle-income economies (World Bank)",11992.622,,95.98587,,81,
2015,834,"Tanzania, United Republic of",2627,"High-income economies (World Bank)",300.046,,2.40149,,53,
2015,834,"Tanzania, United Republic of",2628,"High-income OECD members (World Bank)",87.718,,0.70207,,18,
2015,834,"Tanzania, United Republic of",2629,"High-income non OECD members (World Bank)",212.328,,1.69942,,35,
2015,834,"Tanzania, United Republic of",266,"Gabon",0,,0,,0,
2015,834,"Tanzania, United Republic of",268,"Georgia",0,,0,,0,
2015,834,"Tanzania, United Republic of",270,"Gambia",0,,0,,0,
2015,834,"Tanzania, United Republic of",2710,"BASIC",9.043,,0.07238,,2,
2015,834,"Tanzania, United Republic of",2711,"BRICS",20.1,,0.16088,,4,
2015,834,"Tanzania, United Republic of",276,"Germany",10.285,,0.08232,,3,
2015,834,"Tanzania, United Republic of",288,"Ghana",0,,0,,0,
2015,834,"Tanzania, United Republic of",292,"Gibraltar",0,,0,,0,
2015,834,"Tanzania, United Republic of",296,"Kiribati",0,,0,,0,
2015,834,"Tanzania, United Republic of",300,"Greece",45.222,,0.36195,,8,
2015,834,"Tanzania, United Republic of",304,"Greenland",0,,0,,0,
2015,834,"Tanzania, United Republic of",308,"Grenada",0,,0,,0,
2015,834,"Tanzania, United Republic of",3101,"AMU (Arab Maghreb Union)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3102,"COMESA (Common Market for Eastern and Southern Africa)",25.462,,0.20379,,5,
2015,834,"Tanzania, United Republic of",3103,"ECCAS (Economic Community of Central African States)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3104,"ECOWAS (Economic Community of West African States)",6.778,,0.05425,,1,
2015,834,"Tanzania, United Republic of",3105,"MRU (Mano River Union)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3106,"SADC (Southern African Development Community)",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",3107,"CEMAC (Economic and Monetary Community of Central Africa)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3108,"WAEMU (West African Economic and Monetary Union)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3109,"CEPGL (Economic Community of the Great Lakes Countries)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3110,"EAC (East African Community)",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",3111,"SACU (Southern African Customs Union)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3112,"CEN-SAD (Community of Sahel-Saharan States)",32.24,,0.25804,,6,
2015,834,"Tanzania, United Republic of",3113,"IGAD (Intergovernmental Authority on Development)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3114,"United Nations member States",12471.124,,99.81568,,163,
2015,834,"Tanzania, United Republic of",312,"Guadeloupe",0,,0,,0,
2015,834,"Tanzania, United Republic of",316,"Guam",0,,0,,0,
2015,834,"Tanzania, United Republic of",320,"Guatemala",0,,0,,0,
2015,834,"Tanzania, United Republic of",3201,"CAN (Andean Community)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3202,"CACM (Central American Common Market)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3203,"CARICOM (Caribbean Community)",3.15,,0.02521,,1,
2015,834,"Tanzania, United Republic of",3204,"FTAA (Free Trade Area of the Americas)",26.063,,0.2086,,8,
2015,834,"Tanzania, United Republic of",3205,"LAIA (Latin American Integration Association)",15.386,,0.12315,,3,
2015,834,"Tanzania, United Republic of",3206,"NAFTA (North American Free Trade Agreement)",7.527,,0.06024,,4,
2015,834,"Tanzania, United Republic of",3207,"OECS (Organisation of Eastern Caribbean States)",3.545,,0.02837,,1,
2015,834,"Tanzania, United Republic of",3208,"MERCOSUR (Southern Common Market)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3209,"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3210,"UNASUR (Union of South American Nations)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3211,"ACS (Association of Caribbean States)",18.536,,0.14836,,4,
2015,834,"Tanzania, United Republic of",324,"Guinea",0,,0,,0,
2015,834,"Tanzania, United Republic of",328,"Guyana",0,,0,,0,
2015,834,"Tanzania, United Republic of",3301,"ASEAN (Association of Southeast Asian Nations)",18.649,,0.14927,,4,
2015,834,"Tanzania, United Republic of",3302,"APTA (Asia-Pacific Trade Agreement)",9.043,,0.07238,,2,
2015,834,"Tanzania, United Republic of",3303,"GCC (The Cooperation Council for the Arab States of the Gulf)",178.416,,1.428,,26,
2015,834,"Tanzania, United Republic of",3304,"SAARC (South Asian Association for Regional Cooperation)",4.843,,0.03876,,1,
2015,834,"Tanzania, United Republic of",3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",22.849,,0.18288,,5,
2015,834,"Tanzania, United Republic of",3306,"ECO (Economic Cooperation Organization)",11919.918,,95.40397,,61,
2015,834,"Tanzania, United Republic of",3307,"African Union",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",3310,"ADB (African Development Bank), developing member countries",36.106,,0.28898,,6,
2015,834,"Tanzania, United Republic of",3311,"ADB: Group A",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",3312,"ADB: Group B",4.843,,0.03876,,1,
2015,834,"Tanzania, United Republic of",3313,"ADB: Group C",15.049,,0.12045,,2,
2015,834,"Tanzania, United Republic of",332,"Haiti",3.15,,0.02521,,1,
2015,834,"Tanzania, United Republic of",3320,"ECA (Economic Commission for Africa)",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",3321,"ECA: North Africa",25.462,,0.20379,,5,
2015,834,"Tanzania, United Republic of",3322,"ECA: East Africa",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",3323,"ECA: Central Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",3324,"ECA: Southern Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",3325,"ECA: West Africa",6.778,,0.05425,,1,
2015,834,"Tanzania, United Republic of",3330,"ECLAC (Economic Commission for Latin America and the Caribbean)",22.081,,0.17673,,5,
2015,834,"Tanzania, United Republic of",3331,"ECLAC: Caribbean",3.545,,0.02837,,1,
2015,834,"Tanzania, United Republic of",3332,"ECLAC: Latin America",18.536,,0.14836,,4,
2015,834,"Tanzania, United Republic of",3340,"ESCAP (Economic and Social Commission for Asia and the Pacific)",11986.262,,95.93497,,75,
2015,834,"Tanzania, United Republic of",3341,"ESCAP: Africa",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",3342,"ESCAP: Latin America",22.081,,0.17673,,5,
2015,834,"Tanzania, United Republic of",3343,"ESCAP: Europe",109.722,,0.87819,,24,
2015,834,"Tanzania, United Republic of",3344,"ESCAP: East and North-East Asia (ENEA)",15.58,,0.1247,,4,
2015,834,"Tanzania, United Republic of",3345,"ESCAP: North and Central Asia",11.057,,0.0885,,2,
2015,834,"Tanzania, United Republic of",3346,"ESCAP: South and South-West Asia",11924.761,,95.44273,,62,
2015,834,"Tanzania, United Republic of",3347,"ESCAP: Pacific",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",3348,"ESCAP: Pacific island developing economies (PIDE)",26.637,,0.2132,,6,
2015,834,"Tanzania, United Republic of",3349,"ESCAP: Other area",297.158,,2.37838,,45,
2015,834,"Tanzania, United Republic of",3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",26.637,,0.2132,,6,
2015,834,"Tanzania, United Republic of",3355,"UNECE (Economic Commission for Europe)",168.584,,1.3493,,44,
2015,834,"Tanzania, United Republic of",3360,"UNECE: Eastern Europe, Caucasus and Central Asia",14.237,,0.11395,,3,
2015,834,"Tanzania, United Republic of",3361,"UNECE: West Balkans",0,,0,,0,
2015,834,"Tanzania, United Republic of",3370,"ESCWA (Economic and Social Commission for Western Asia)",322.62,,2.58217,,50,
2015,834,"Tanzania, United Republic of",3371,"ESCWA: Arab countries",322.62,,2.58217,,50,
2015,834,"Tanzania, United Republic of",340,"Honduras",0,,0,,0,
2015,834,"Tanzania, United Republic of",3401,"EFTA (European Free Trade Association)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3402,"EU25 (European Union 2004 … 2007)",80.191,,0.64183,,14,
2015,834,"Tanzania, United Republic of",3404,"EU15 (European Union 1995 … 2004)",80.191,,0.64183,,14,
2015,834,"Tanzania, United Republic of",3406,"Euro area",55.507,,0.44426,,11,
2015,834,"Tanzania, United Republic of",3408,"EU27 (European Union 2007 … 2013)",106.542,,0.85273,,23,
2015,834,"Tanzania, United Republic of",3410,"EU28 (European Union 2013 … 2020)",106.542,,0.85273,,23,
2015,834,"Tanzania, United Republic of",3411,"CEFTA (Central European Free Trade Agreement)",0,,0,,0,
2015,834,"Tanzania, United Republic of",3412,"European Union (2020 …)",83.158,,0.66558,,21,
2015,834,"Tanzania, United Republic of",344,"China, Hong Kong SAR",7.18,,0.05747,,2,
2015,834,"Tanzania, United Republic of",3501,"MSG (Melanesian Spearhead Group)",0,,0,,0,
2015,834,"Tanzania, United Republic of",352,"Iceland",0,,0,,0,
2015,834,"Tanzania, United Republic of",356,"India",4.843,,0.03876,,1,
2015,834,"Tanzania, United Republic of",360,"Indonesia",0,,0,,0,
2015,834,"Tanzania, United Republic of",3601,"Northern America and Europe",128.306,,1.02693,,30,
2015,834,"Tanzania, United Republic of",3602,"Central and Southern Asia",11884.483,,95.12036,,48,
2015,834,"Tanzania, United Republic of",3603,"Eastern and South-Eastern Asia",34.23,,0.27397,,8,
2015,834,"Tanzania, United Republic of",3604,"Western Asia and Northern Africa",362.898,,2.90454,,64,
2015,834,"Tanzania, United Republic of",364,"Iran (Islamic Republic of)",11879.64,,95.08159,,47,
2015,834,"Tanzania, United Republic of",368,"Iraq",0,,0,,0,
2015,834,"Tanzania, United Republic of",372,"Ireland",0,,0,,0,
2015,834,"Tanzania, United Republic of",376,"Israel",0,,0,,0,
2015,834,"Tanzania, United Republic of",380,"Italy",0,,0,,0,
2015,834,"Tanzania, United Republic of",384,"Côte d'Ivoire",0,,0,,0,
2015,834,"Tanzania, United Republic of",388,"Jamaica",0,,0,,0,
2015,834,"Tanzania, United Republic of",3901,"APEC (Asia-Pacific Economic Cooperation)",48.614,,0.38909,,13,
2015,834,"Tanzania, United Republic of",3903,"CIS (Commonwealth of Independent States)",11.057,,0.0885,,2,
2015,834,"Tanzania, United Republic of",3905,"OECD (Organisation for Economic Cooperation and Development)",127.996,,1.02445,,32,
2015,834,"Tanzania, United Republic of",3906,"OPEC (Organization of the Petroleum Exporting Countries)",12061.564,,96.53767,,73,
2015,834,"Tanzania, United Republic of",3907,"ACP (African, Caribbean and Pacific Group of States)",53.002,,0.42421,,12,
2015,834,"Tanzania, United Republic of",3908,"LAS (League of Arab States)",322.62,,2.58217,,50,
2015,834,"Tanzania, United Republic of",3909,"OIC (Organisation of Islamic Cooperation)",12249.316,,98.04039,,112,
2015,834,"Tanzania, United Republic of",3910,"OAS (Organization of American States)",26.063,,0.2086,,8,
2015,834,"Tanzania, United Republic of",3912,"G7 (Group of Seven)",41.196,,0.32972,,9,
2015,834,"Tanzania, United Republic of",3913,"G8 (Group of Eight)",52.253,,0.41822,,11,
2015,834,"Tanzania, United Republic of",3916,"G20 (Group of Twenty)",183.786,,1.47098,,48,
2015,834,"Tanzania, United Republic of",3919,"G-77 (Group of 77)",12302.54,,98.46638,,119,
2015,834,"Tanzania, United Republic of",392,"Japan",0,,0,,0,
2015,834,"Tanzania, United Republic of",3921,"GSTP (Global System of Trade Preferences among Developing Countries)",11966.432,,95.77626,,66,
2015,834,"Tanzania, United Republic of",3922,"GSTP: Africa",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",3923,"GSTP: Latin America",0,,0,,0,
2015,834,"Tanzania, United Republic of",3924,"GSTP: Asia",11907.332,,95.30324,,53,
2015,834,"Tanzania, United Republic of",3932,"TPP (Trans-Pacific Partnership)",7.8,,0.06243,,3,
2015,834,"Tanzania, United Republic of",3940,"ACP: Africa",33.638,,0.26923,,8,
2015,834,"Tanzania, United Republic of",3941,"ACP: Western Africa",6.778,,0.05425,,1,
2015,834,"Tanzania, United Republic of",3942,"ACP: Eastern Africa",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",3943,"ACP: Central Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",3944,"ACP: Southern Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",3945,"ACP: Caribbean",3.15,,0.02521,,1,
2015,834,"Tanzania, United Republic of",3946,"ACP: Pacific",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",3947,"ACP: LDCs",30.01,,0.24019,,8,
2015,834,"Tanzania, United Republic of",3948,"ACP: LLDCs",0,,0,,0,
2015,834,"Tanzania, United Republic of",3949,"ACP: islands states",3.15,,0.02521,,1,
2015,834,"Tanzania, United Republic of",3950,"ACP: Northern Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",398,"Kazakhstan",0,,0,,0,
2015,834,"Tanzania, United Republic of",400,"Jordan",1.459,,0.01168,,1,
2015,834,"Tanzania, United Republic of",404,"Kenya",0,,0,,0,
2015,834,"Tanzania, United Republic of",408,"Korea, Dem. People's Rep. of",4.2,,0.03362,,1,
2015,834,"Tanzania, United Republic of",410,"Korea, Republic of",0,,0,,0,
2015,834,"Tanzania, United Republic of",414,"Kuwait",0,,0,,0,
2015,834,"Tanzania, United Republic of",418,"Lao People's Dem. Rep.",0,,0,,0,
2015,834,"Tanzania, United Republic of",422,"Lebanon",13.423,,0.10743,,4,
2015,834,"Tanzania, United Republic of",428,"Latvia",0,,0,,0,
2015,834,"Tanzania, United Republic of",430,"Liberia",0,,0,,0,
2015,834,"Tanzania, United Republic of",434,"Libya",0,,0,,0,
2015,834,"Tanzania, United Republic of",438,"Liechtenstein",0,,0,,0,
2015,834,"Tanzania, United Republic of",440,"Lithuania",0,,0,,0,
2015,834,"Tanzania, United Republic of",442,"Luxembourg",0,,0,,0,
2015,834,"Tanzania, United Republic of",446,"China, Macao SAR",0,,0,,0,
2015,834,"Tanzania, United Republic of",450,"Madagascar",0,,0,,0,
2015,834,"Tanzania, United Republic of",458,"Malaysia",0,,0,,0,
2015,834,"Tanzania, United Republic of",462,"Maldives",0,,0,,0,
2015,834,"Tanzania, United Republic of",470,"Malta",0,,0,,0,
2015,834,"Tanzania, United Republic of",474,"Martinique",0,,0,,0,
2015,834,"Tanzania, United Republic of",478,"Mauritania",0,,0,,0,
2015,834,"Tanzania, United Republic of",480,"Mauritius",0,,0,,0,
2015,834,"Tanzania, United Republic of",484,"Mexico",0,,0,,0,
2015,834,"Tanzania, United Republic of",492,"Monaco",0,,0,,0,
2015,834,"Tanzania, United Republic of",496,"Mongolia",0,,0,,0,
2015,834,"Tanzania, United Republic of",498,"Moldova, Republic of",0,,0,,0,
2015,834,"Tanzania, United Republic of",499,"Montenegro",0,,0,,0,
2015,834,"Tanzania, United Republic of",504,"Morocco",0,,0,,0,
2015,834,"Tanzania, United Republic of",508,"Mozambique",0,,0,,0,
2015,834,"Tanzania, United Republic of",5100,"Africa",59.1,,0.47302,,13,
2015,834,"Tanzania, United Republic of",5110,"Northern Africa",25.462,,0.20379,,5,
2015,834,"Tanzania, United Republic of",512,"Oman",3.27,,0.02617,,1,
2015,834,"Tanzania, United Republic of",5120,"Sub-Saharan Africa",33.638,,0.26923,,8,
2015,834,"Tanzania, United Republic of",5121,"Eastern Africa",26.86,,0.21498,,7,
2015,834,"Tanzania, United Republic of",5122,"Middle Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",5123,"Southern Africa",0,,0,,0,
2015,834,"Tanzania, United Republic of",5124,"Western Africa",6.778,,0.05425,,1,
2015,834,"Tanzania, United Republic of",516,"Namibia",0,,0,,0,
2015,834,"Tanzania, United Republic of",5200,"America",29.608,,0.23697,,9,
2015,834,"Tanzania, United Republic of",5210,"Northern America",7.527,,0.06024,,4,
2015,834,"Tanzania, United Republic of",5220,"Latin America and the Caribbean",22.081,,0.17673,,5,
2015,834,"Tanzania, United Republic of",5221,"Caribbean",6.695,,0.05359,,2,
2015,834,"Tanzania, United Republic of",5222,"Central America",15.386,,0.12315,,3,
2015,834,"Tanzania, United Republic of",5223,"South America",0,,0,,0,
2015,834,"Tanzania, United Republic of",528,"Netherlands",0,,0,,0,
2015,834,"Tanzania, United Republic of",5300,"Asia",12256.149,,98.09507,,115,
2015,834,"Tanzania, United Republic of",531,"Curaçao",0,,0,,0,
2015,834,"Tanzania, United Republic of",5310,"Central Asia",0,,0,,0,
2015,834,"Tanzania, United Republic of",5320,"Southern Asia",11884.483,,95.12036,,48,
2015,834,"Tanzania, United Republic of",533,"Aruba",0,,0,,0,
2015,834,"Tanzania, United Republic of",5330,"Eastern Asia",15.58,,0.1247,,4,
2015,834,"Tanzania, United Republic of",5340,"Western Asia",337.436,,2.70075,,59,
2015,834,"Tanzania, United Republic of",535,"Bonaire, Sint Eustatius and Saba",0,,0,,0,
2015,834,"Tanzania, United Republic of",5350,"South-eastern Asia",18.649,,0.14927,,4,
2015,834,"Tanzania, United Republic of",540,"New Caledonia",0,,0,,0,
2015,834,"Tanzania, United Republic of",5400,"Europe",120.779,,0.96668,,26,
2015,834,"Tanzania, United Republic of",5410,"Eastern Europe",40.588,,0.32486,,12,
2015,834,"Tanzania, United Republic of",5420,"Northern Europe",24.684,,0.19756,,3,
2015,834,"Tanzania, United Republic of",5430,"Southern Europe",45.222,,0.36195,,8,
2015,834,"Tanzania, United Republic of",5440,"Western Europe",10.285,,0.08232,,3,
2015,834,"Tanzania, United Republic of",548,"Vanuatu",0,,0,,0,
2015,834,"Tanzania, United Republic of",5500,"Oceania",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",554,"New Zealand",0,,0,,0,
2015,834,"Tanzania, United Republic of",558,"Nicaragua",0,,0,,0,
2015,834,"Tanzania, United Republic of",5600,"Asia and Oceania",12272.363,,98.22485,,118,
2015,834,"Tanzania, United Republic of",566,"Nigeria",6.778,,0.05425,,1,
2015,834,"Tanzania, United Republic of",579,"Norway",0,,0,,0,
2015,834,"Tanzania, United Republic of",580,"Northern Mariana Islands",0,,0,,0,
2015,834,"Tanzania, United Republic of",583,"Micronesia (Federated States of)",0,,0,,0,
2015,834,"Tanzania, United Republic of",584,"Marshall Islands",16.214,,0.12977,,3,
2015,834,"Tanzania, United Republic of",585,"Palau",0,,0,,0,
2015,834,"Tanzania, United Republic of",586,"Pakistan",0,,0,,0,
2015,834,"Tanzania, United Republic of",591,"Panama",15.386,,0.12315,,3,
2015,834,"Tanzania, United Republic of",598,"Papua New Guinea",0,,0,,0,
2015,834,"Tanzania, United Republic of",600,"Paraguay",0,,0,,0,
2015,834,"Tanzania, United Republic of",604,"Peru",0,,0,,0,
2015,834,"Tanzania, United Republic of",608,"Philippines",10.849,,0.08683,,1,
2015,834,"Tanzania, United Republic of",616,"Poland",0,,0,,0,
2015,834,"Tanzania, United Republic of",620,"Portugal",0,,0,,0,
2015,834,"Tanzania, United Republic of",624,"Guinea-Bissau",0,,0,,0,
2015,834,"Tanzania, United Republic of",626,"Timor-Leste",0,,0,,0,
2015,834,"Tanzania, United Republic of",634,"Qatar",0,,0,,0,
2015,834,"Tanzania, United Republic of",638,"Réunion",0,,0,,0,
2015,834,"Tanzania, United Republic of",642,"Romania",26.351,,0.21091,,9,
2015,834,"Tanzania, United Republic of",643,"Russian Federation",11.057,,0.0885,,2,
2015,834,"Tanzania, United Republic of",652,"Saint Barthélemy",0,,0,,0,
2015,834,"Tanzania, United Republic of",654,"Saint Helena",0,,0,,0,
2015,834,"Tanzania, United Republic of",659,"Saint Kitts and Nevis",0,,0,,0,
2015,834,"Tanzania, United Republic of",660,"Anguilla",0,,0,,0,
2015,834,"Tanzania, United Republic of",662,"Saint Lucia",0,,0,,0,
2015,834,"Tanzania, United Republic of",666,"Saint Pierre and Miquelon",0,,0,,0,
