,Year,FlagOfRegistration,FlagOfRegistration Label,BeneficialOwnership,BeneficialOwnership Label,Dead weight tons in thousands,Percentage of total fleet,Number of ships
18354,2016,208,Denmark,458,Malaysia,0.0,0.0,0
18355,2016,208,Denmark,462,Maldives,0.0,0.0,0
18356,2016,208,Denmark,470,Malta,0.0,0.0,0
18357,2016,208,Denmark,474,Martinique,0.0,0.0,0
18358,2016,208,Denmark,478,Mauritania,0.0,0.0,0
18359,2016,208,Denmark,480,Mauritius,0.0,0.0,0
18360,2016,208,Denmark,484,Mexico,0.0,0.0,0
18361,2016,208,Denmark,492,Monaco,0.0,0.0,0
18362,2016,208,Denmark,496,Mongolia,0.0,0.0,0
18363,2016,208,Denmark,498,"Moldova, Republic of",0.0,0.0,0
18364,2016,208,Denmark,499,Montenegro,0.0,0.0,0
18365,2016,208,Denmark,504,Morocco,0.0,0.0,0
18366,2016,208,Denmark,508,Mozambique,0.0,0.0,0
18367,2016,208,Denmark,5100,Africa,0.0,0.0,0
18368,2016,208,Denmark,5110,Northern Africa,0.0,0.0,0
18369,2016,208,Denmark,512,Oman,0.0,0.0,0
18370,2016,208,Denmark,5120,Sub-Saharan Africa,0.0,0.0,0
18371,2016,208,Denmark,5121,Eastern Africa,0.0,0.0,0
18372,2016,208,Denmark,5122,Middle Africa,0.0,0.0,0
18373,2016,208,Denmark,5123,Southern Africa,0.0,0.0,0
18374,2016,208,Denmark,5124,Western Africa,0.0,0.0,0
18375,2016,208,Denmark,516,Namibia,0.0,0.0,0
18376,2016,208,Denmark,5200,America,297.99,1.76157,13
18377,2016,208,Denmark,5210,Northern America,203.495,1.20296,8
18378,2016,208,Denmark,5220,Latin America and the Caribbean,94.495,0.55861,5
18379,2016,208,Denmark,5221,Caribbean,0.0,0.0,0
18380,2016,208,Denmark,5222,Central America,0.0,0.0,0
18381,2016,208,Denmark,5223,South America,94.495,0.55861,5
18382,2016,208,Denmark,528,Netherlands,0.0,0.0,0
18383,2016,208,Denmark,5300,Asia,0.0,0.0,0
18384,2016,208,Denmark,531,Curaçao,0.0,0.0,0
18385,2016,208,Denmark,5310,Central Asia,0.0,0.0,0
18386,2016,208,Denmark,5320,Southern Asia,0.0,0.0,0
18387,2016,208,Denmark,533,Aruba,0.0,0.0,0
18388,2016,208,Denmark,5330,Eastern Asia,0.0,0.0,0
18389,2016,208,Denmark,5340,Western Asia,0.0,0.0,0
18390,2016,208,Denmark,535,"Bonaire, Sint Eustatius and Saba",0.0,0.0,0
18391,2016,208,Denmark,5350,South-eastern Asia,0.0,0.0,0
18392,2016,208,Denmark,540,New Caledonia,0.0,0.0,0
18393,2016,208,Denmark,5400,Europe,16618.211,98.23843,381
18394,2016,208,Denmark,5410,Eastern Europe,0.0,0.0,0
18395,2016,208,Denmark,5420,Northern Europe,16308.202,96.40582,374
18396,2016,208,Denmark,5430,Southern Europe,90.456,0.53473,1
18397,2016,208,Denmark,5440,Western Europe,219.553,1.29789,6
18398,2016,208,Denmark,548,Vanuatu,0.0,0.0,0
18399,2016,208,Denmark,5500,Oceania,0.0,0.0,0
18400,2016,208,Denmark,554,New Zealand,0.0,0.0,0
18401,2016,208,Denmark,558,Nicaragua,0.0,0.0,0
18402,2016,208,Denmark,5600,Asia and Oceania,0.0,0.0,0
18403,2016,208,Denmark,566,Nigeria,0.0,0.0,0
18404,2016,208,Denmark,579,Norway,11.718,0.06927,4
18405,2016,208,Denmark,580,Northern Mariana Islands,0.0,0.0,0
18406,2016,208,Denmark,583,Micronesia (Federated States of),0.0,0.0,0
18407,2016,208,Denmark,584,Marshall Islands,0.0,0.0,0
18408,2016,208,Denmark,585,Palau,0.0,0.0,0
18409,2016,208,Denmark,586,Pakistan,0.0,0.0,0
18410,2016,208,Denmark,591,Panama,0.0,0.0,0
18411,2016,208,Denmark,598,Papua New Guinea,0.0,0.0,0
18412,2016,208,Denmark,600,Paraguay,0.0,0.0,0
18413,2016,208,Denmark,604,Peru,0.0,0.0,0
18414,2016,208,Denmark,608,Philippines,0.0,0.0,0
18415,2016,208,Denmark,616,Poland,0.0,0.0,0
18416,2016,208,Denmark,620,Portugal,0.0,0.0,0
18417,2016,208,Denmark,624,Guinea-Bissau,0.0,0.0,0
18418,2016,208,Denmark,626,Timor-Leste,0.0,0.0,0
18419,2016,208,Denmark,634,Qatar,0.0,0.0,0
18420,2016,208,Denmark,638,Réunion,0.0,0.0,0
18421,2016,208,Denmark,642,Romania,0.0,0.0,0
18422,2016,208,Denmark,643,Russian Federation,0.0,0.0,0
18423,2016,208,Denmark,652,Saint Barthélemy,0.0,0.0,0
18424,2016,208,Denmark,654,Saint Helena,0.0,0.0,0
18425,2016,208,Denmark,659,Saint Kitts and Nevis,0.0,0.0,0
18426,2016,208,Denmark,660,Anguilla,0.0,0.0,0
18427,2016,208,Denmark,662,Saint Lucia,0.0,0.0,0
18428,2016,208,Denmark,666,Saint Pierre and Miquelon,0.0,0.0,0
18429,2016,208,Denmark,670,Saint Vincent and the Grenadines,0.0,0.0,0
18430,2016,208,Denmark,678,Sao Tome and Principe,0.0,0.0,0
18431,2016,208,Denmark,682,Saudi Arabia,0.0,0.0,0
18432,2016,208,Denmark,686,Senegal,0.0,0.0,0
18433,2016,208,Denmark,690,Seychelles,0.0,0.0,0
18434,2016,208,Denmark,694,Sierra Leone,0.0,0.0,0
18435,2016,208,Denmark,702,Singapore,0.0,0.0,0
18436,2016,208,Denmark,704,Viet Nam,0.0,0.0,0
18437,2016,208,Denmark,705,Slovenia,0.0,0.0,0
18438,2016,208,Denmark,706,Somalia,0.0,0.0,0
18439,2016,208,Denmark,710,South Africa,0.0,0.0,0
18440,2016,208,Denmark,724,Spain,0.0,0.0,0
18441,2016,208,Denmark,729,Sudan,0.0,0.0,0
18442,2016,208,Denmark,740,Suriname,0.0,0.0,0
18443,2016,208,Denmark,752,Sweden,191.764,1.13361,23
18444,2016,208,Denmark,756,Switzerland,0.0,0.0,0
18445,2016,208,Denmark,757,"Switzerland, Liechtenstein",0.0,0.0,0
18446,2016,208,Denmark,760,Syrian Arab Republic,0.0,0.0,0
18447,2016,208,Denmark,764,Thailand,0.0,0.0,0
18448,2016,208,Denmark,768,Togo,0.0,0.0,0
18449,2016,208,Denmark,772,Tokelau,0.0,0.0,0
18450,2016,208,Denmark,776,Tonga,0.0,0.0,0
18451,2016,208,Denmark,780,Trinidad and Tobago,0.0,0.0,0
18452,2016,208,Denmark,784,United Arab Emirates,0.0,0.0,0
18453,2016,208,Denmark,788,Tunisia,0.0,0.0,0
18454,2016,208,Denmark,792,Turkey,0.0,0.0,0
18455,2016,208,Denmark,795,Turkmenistan,0.0,0.0,0
18456,2016,208,Denmark,796,Turks and Caicos Islands,0.0,0.0,0
18457,2016,208,Denmark,798,Tuvalu,0.0,0.0,0
18458,2016,208,Denmark,804,Ukraine,0.0,0.0,0
18459,2016,208,Denmark,818,Egypt,0.0,0.0,0
18460,2016,208,Denmark,830,Channel Islands,0.0,0.0,0
18461,2016,208,Denmark,834,"Tanzania, United Republic of",0.0,0.0,0
18462,2016,208,Denmark,841,United States of America including Puerto Rico,0.0,0.0,0
18463,2016,208,Denmark,842,United States of America,0.0,0.0,0
18464,2016,208,Denmark,850,United States Virgin Islands,0.0,0.0,0
18465,2016,208,Denmark,858,Uruguay,0.0,0.0,0
18466,2016,208,Denmark,862,Venezuela (Bolivarian Rep. of),0.0,0.0,0
18467,2016,208,Denmark,876,Wallis and Futuna Islands,0.0,0.0,0
18468,2016,208,Denmark,882,Samoa,0.0,0.0,0
18469,2016,208,Denmark,887,Yemen,0.0,0.0,0
18470,2016,208,Denmark,926,United Kingdom,0.0,0.0,0
18471,2016,300,Greece,0000,World,71859.325,100.0,789
18472,2016,300,Greece,0000u,World n.e.s.,20.077,0.02794,7
18473,2016,300,Greece,008,Albania,3.05,0.00424,1
18474,2016,300,Greece,012,Algeria,0.0,0.0,0
18475,2016,300,Greece,016,American Samoa,0.0,0.0,0
18476,2016,300,Greece,024,Angola,0.0,0.0,0
18477,2016,300,Greece,028,Antigua and Barbuda,0.0,0.0,0
18478,2016,300,Greece,031,Azerbaijan,0.0,0.0,0
18479,2016,300,Greece,032,Argentina,0.0,0.0,0
18480,2016,300,Greece,036,Australia,0.0,0.0,0
18481,2016,300,Greece,040,Austria,0.0,0.0,0
18482,2016,300,Greece,044,Bahamas,0.0,0.0,0
18483,2016,300,Greece,048,Bahrain,0.0,0.0,0
18484,2016,300,Greece,050,Bangladesh,0.0,0.0,0
18485,2016,300,Greece,052,Barbados,0.0,0.0,0
18486,2016,300,Greece,056,Belgium,4028.083,5.60551,22
18487,2016,300,Greece,060,Bermuda,0.0,0.0,0
18488,2016,300,Greece,068,Bolivia (Plurinational State of),0.0,0.0,0
18489,2016,300,Greece,076,Brazil,0.0,0.0,0
18490,2016,300,Greece,084,Belize,0.0,0.0,0
18491,2016,300,Greece,090,Solomon Islands,0.0,0.0,0
18492,2016,300,Greece,092,British Virgin Islands,0.0,0.0,0
18493,2016,300,Greece,096,Brunei Darussalam,0.0,0.0,0
18494,2016,300,Greece,100,Bulgaria,0.0,0.0,0
18495,2016,300,Greece,104,Myanmar,0.0,0.0,0
18496,2016,300,Greece,1100,Developed economies,71823.061,99.94953,776
18497,2016,300,Greece,1120,Developed economies: America,1.735,0.00241,1
18498,2016,300,Greece,1130,Developed economies: Asia,0.0,0.0,0
18499,2016,300,Greece,1140,Developed economies: Europe,71821.326,99.94712,775
18500,2016,300,Greece,1150,Developed economies: Oceania,0.0,0.0,0
18501,2016,300,Greece,116,Cambodia,0.0,0.0,0
18502,2016,300,Greece,120,Cameroon,0.0,0.0,0
18503,2016,300,Greece,1200,Developing economies,11.902,0.01656,4
18504,2016,300,Greece,1210,Developing economies: Africa,0.0,0.0,0
18505,2016,300,Greece,1220,Developing economies: America,0.0,0.0,0
18506,2016,300,Greece,1230,Developing economies: Asia,10.761,0.01498,3
18507,2016,300,Greece,124,Canada,0.0,0.0,0
18508,2016,300,Greece,1250,Developing economies: Oceania,1.141,0.00159,1
18509,2016,300,Greece,1300,Transition economies,4.285,0.00596,2
18510,2016,300,Greece,132,Cabo Verde,0.0,0.0,0
18511,2016,300,Greece,136,Cayman Islands,0.0,0.0,0
18512,2016,300,Greece,144,Sri Lanka,0.0,0.0,0
18513,2016,300,Greece,152,Chile,0.0,0.0,0
18514,2016,300,Greece,156,China,0.0,0.0,0
18515,2016,300,Greece,158,"China, Taiwan Province of",0.0,0.0,0
18516,2016,300,Greece,170,Colombia,0.0,0.0,0
18517,2016,300,Greece,174,Comoros,0.0,0.0,0
18518,2016,300,Greece,175,Mayotte,0.0,0.0,0
18519,2016,300,Greece,178,Congo,0.0,0.0,0
18520,2016,300,Greece,180,"Congo, Dem. Rep. of the",0.0,0.0,0
18521,2016,300,Greece,184,Cook Islands,0.0,0.0,0
18522,2016,300,Greece,188,Costa Rica,0.0,0.0,0
18523,2016,300,Greece,191,Croatia,0.0,0.0,0
18524,2016,300,Greece,192,Cuba,0.0,0.0,0
18525,2016,300,Greece,196,Cyprus,0.0,0.0,0
18526,2016,300,Greece,204,Benin,0.0,0.0,0
18527,2016,300,Greece,208,Denmark,0.0,0.0,0
18528,2016,300,Greece,2101,Developed economies: Asia and Oceania,0.0,0.0,0
18529,2016,300,Greece,2102,Developing economies: Asia and Oceania,11.902,0.01656,4
18530,2016,300,Greece,2116,Sub-Saharan Africa excluding South Africa,0.0,0.0,0
18531,2016,300,Greece,2117,Africa excluding South Africa,0.0,0.0,0
18532,2016,300,Greece,212,Dominica,0.0,0.0,0
18533,2016,300,Greece,214,Dominican Republic,0.0,0.0,0
18534,2016,300,Greece,2160,Developing economies excluding China,11.902,0.01656,4
18535,2016,300,Greece,2161,Developing economies excluding LDCs,11.902,0.01656,4
18536,2016,300,Greece,218,Ecuador,0.0,0.0,0
18537,2016,300,Greece,2200,M49 developing regions,11.902,0.01656,4
18538,2016,300,Greece,2205,M49 developed regions,71827.346,99.9555,778
18539,2016,300,Greece,2210,LDCs (Least developed countries),0.0,0.0,0
18540,2016,300,Greece,2211,LDCs: Africa and Haiti,0.0,0.0,0
18541,2016,300,Greece,2213,LDCs: Asia,0.0,0.0,0
18542,2016,300,Greece,2216,LDCs: Islands,0.0,0.0,0
18543,2016,300,Greece,222,El Salvador,0.0,0.0,0
18544,2016,300,Greece,2220,LLDCs (Landlocked developing countries),0.0,0.0,0
18545,2016,300,Greece,2221,LDCs: Africa,0.0,0.0,0
18546,2016,300,Greece,2222,LDCs: Islands and Haiti,0.0,0.0,0
18547,2016,300,Greece,2230,SIDS (Small island developing States) (UNCTAD),1.141,0.00159,1
18548,2016,300,Greece,2231,SIDS: Atlantic and Indian Ocean,0.0,0.0,0
18549,2016,300,Greece,2232,SIDS: Caribbean,0.0,0.0,0
18550,2016,300,Greece,2233,SIDS: Pacific,1.141,0.00159,1
18551,2016,300,Greece,2250,SIDS (Small island developing States) (UN-OHRLLS),1.141,0.00159,1
18552,2016,300,Greece,226,Equatorial Guinea,0.0,0.0,0
18553,2016,300,Greece,231,Ethiopia,0.0,0.0,0
18554,2016,300,Greece,232,Eritrea,0.0,0.0,0
18555,2016,300,Greece,233,Estonia,0.0,0.0,0
18556,2016,300,Greece,234,Faroe Islands,0.0,0.0,0
18557,2016,300,Greece,2370,Selected exporters of petroleum,0.0,0.0,0
18558,2016,300,Greece,2371,Selected exporters of manufactured goods,2.09,0.00291,1
18559,2016,300,Greece,2372,Selected exporters of manufactured goods and primary commodities,3.325,0.00463,2
18560,2016,300,Greece,2373,Selected exporters of agricultural products,3.171,0.00441,1
18561,2016,300,Greece,2374,Selected exporters of minerals and mining products,0.0,0.0,0
18562,2016,300,Greece,2376,Selected LIFDC (Low-income food-deficit countries),3.171,0.00441,1
18563,2016,300,Greece,2378,LIFDC (Low-income food-deficit countries) (FAO),3.171,0.00441,1
18564,2016,300,Greece,238,Falkland Islands (Malvinas),0.0,0.0,0
18565,2016,300,Greece,2411,Net food-importing economies,67804.964,94.35792,756
18566,2016,300,Greece,2412,Net food-exporting economies,4034.284,5.61414,26
18567,2016,300,Greece,2413,Net food-exporting developing economies,3.231,0.0045,2
18568,2016,300,Greece,2414,Net food-exporting transition economies,1.235,0.00172,1
18569,2016,300,Greece,2415,Net food-exporting developed economies,4029.818,5.60793,23
18570,2016,300,Greece,2416,Major net food-exporting economies,4033.143,5.61255,25
18571,2016,300,Greece,242,Fiji,0.0,0.0,0
18572,2016,300,Greece,2420,Net food-importing developing economies,8.671,0.01207,2
18573,2016,300,Greece,2421,Net food-importing transition economies,3.05,0.00424,1
18574,2016,300,Greece,2422,Net food-importing developed economies,67793.243,94.34161,753
18575,2016,300,Greece,2423,Major net food-importing economies,22.283,0.03101,4
18576,2016,300,Greece,246,Finland,0.0,0.0,0
18577,2016,300,Greece,250,"France, metropolitan",0.0,0.0,0
18578,2016,300,Greece,2508,Industrialized economies (UNIDO),4052.101,5.63894,27
18579,2016,300,Greece,2509,EIEs (Emerging Industrial Economies) (UNIDO),67779.785,94.32288,752
18580,2016,300,Greece,251,France,0.0,0.0,0
18581,2016,300,Greece,2510,Emerging markets,8.825,0.01228,3
18582,2016,300,Greece,2511,Emerging markets: Africa,0.0,0.0,0
18583,2016,300,Greece,2512,Emerging markets: America,0.0,0.0,0
18584,2016,300,Greece,2513,Emerging markets: Asia,7.59,0.01056,2
18585,2016,300,Greece,2514,Emerging markets: Europe and Kazakhstan,1.235,0.00172,1
18586,2016,300,Greece,258,French Polynesia,0.0,0.0,0
18587,2016,300,Greece,2611,HIPCs (Heavily indebted poor countries) (IMF),0.0,0.0,0
18588,2016,300,Greece,262,Djibouti,0.0,0.0,0
18589,2016,300,Greece,2621,High-income developing economies,7.59,0.01056,2
18590,2016,300,Greece,2622,Middle-income developing economies,1.141,0.00159,1
18591,2016,300,Greece,2623,Low-income developing economies,3.171,0.00441,1
18592,2016,300,Greece,2624,Low-income economies (World Bank),3.171,0.00441,1
18593,2016,300,Greece,2625,Lower-middle-income economies (World Bank),1.235,0.00172,1
18594,2016,300,Greece,2626,Upper-middle-income economies (World Bank),6.281,0.00874,3
18595,2016,300,Greece,2627,High-income economies (World Bank),71828.561,99.95719,777
18596,2016,300,Greece,2628,High-income OECD members (World Bank),71823.061,99.94953,776
18597,2016,300,Greece,2629,High-income non OECD members (World Bank),5.5,0.00765,1
18598,2016,300,Greece,266,Gabon,0.0,0.0,0
18599,2016,300,Greece,268,Georgia,0.0,0.0,0
18600,2016,300,Greece,270,Gambia,0.0,0.0,0
18601,2016,300,Greece,2710,BASIC,0.0,0.0,0
18602,2016,300,Greece,2711,BRICS,0.0,0.0,0
18603,2016,300,Greece,276,Germany,0.0,0.0,0
18604,2016,300,Greece,288,Ghana,0.0,0.0,0
18605,2016,300,Greece,292,Gibraltar,0.0,0.0,0
18606,2016,300,Greece,296,Kiribati,0.0,0.0,0
18607,2016,300,Greece,300,Greece,67776.46,94.31825,750
18608,2016,300,Greece,304,Greenland,0.0,0.0,0
18609,2016,300,Greece,308,Grenada,0.0,0.0,0
18610,2016,300,Greece,3101,AMU (Arab Maghreb Union),0.0,0.0,0
18611,2016,300,Greece,3102,COMESA (Common Market for Eastern and Southern Africa),0.0,0.0,0
18612,2016,300,Greece,3103,ECCAS (Economic Community of Central African States),0.0,0.0,0
18613,2016,300,Greece,3104,ECOWAS (Economic Community of West African States),0.0,0.0,0
18614,2016,300,Greece,3105,MRU (Mano River Union),0.0,0.0,0
18615,2016,300,Greece,3106,SADC (Southern African Development Community),0.0,0.0,0
18616,2016,300,Greece,3107,CEMAC (Economic and Monetary Community of Central Africa),0.0,0.0,0
18617,2016,300,Greece,3108,WAEMU (West African Economic and Monetary Union),0.0,0.0,0
18618,2016,300,Greece,3109,CEPGL (Economic Community of the Great Lakes Countries),0.0,0.0,0
18619,2016,300,Greece,3110,EAC (East African Community),0.0,0.0,0
18620,2016,300,Greece,3111,SACU (Southern African Customs Union),0.0,0.0,0
18621,2016,300,Greece,3112,CEN-SAD (Community of Sahel-Saharan States),0.0,0.0,0
18622,2016,300,Greece,3113,IGAD (Intergovernmental Authority on Development),0.0,0.0,0
18623,2016,300,Greece,3114,United Nations member States,71839.248,99.97206,782
18624,2016,300,Greece,312,Guadeloupe,0.0,0.0,0
18625,2016,300,Greece,316,Guam,0.0,0.0,0
18626,2016,300,Greece,320,Guatemala,0.0,0.0,0
18627,2016,300,Greece,3201,CAN (Andean Community),0.0,0.0,0
18628,2016,300,Greece,3202,CACM (Central American Common Market),0.0,0.0,0
18629,2016,300,Greece,3203,CARICOM (Caribbean Community),0.0,0.0,0
18630,2016,300,Greece,3204,FTAA (Free Trade Area of the Americas),1.735,0.00241,1
18631,2016,300,Greece,3205,LAIA (Latin American Integration Association),0.0,0.0,0
18632,2016,300,Greece,3206,NAFTA (North American Free Trade Agreement),1.735,0.00241,1
18633,2016,300,Greece,3207,OECS (Organisation of Eastern Caribbean States),0.0,0.0,0
18634,2016,300,Greece,3208,MERCOSUR (Southern Common Market),0.0,0.0,0
18635,2016,300,Greece,3209,ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty),0.0,0.0,0
18636,2016,300,Greece,3210,UNASUR (Union of South American Nations),0.0,0.0,0
18637,2016,300,Greece,3211,ACS (Association of Caribbean States),0.0,0.0,0
18638,2016,300,Greece,324,Guinea,0.0,0.0,0
18639,2016,300,Greece,328,Guyana,0.0,0.0,0
18640,2016,300,Greece,3301,ASEAN (Association of Southeast Asian Nations),0.0,0.0,0
18641,2016,300,Greece,3302,APTA (Asia-Pacific Trade Agreement),0.0,0.0,0
18642,2016,300,Greece,3303,GCC (The Cooperation Council for the Arab States of the Gulf),5.5,0.00765,1
18643,2016,300,Greece,3304,SAARC (South Asian Association for Regional Cooperation),0.0,0.0,0
18644,2016,300,Greece,3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",0.0,0.0,0
18645,2016,300,Greece,3306,ECO (Economic Cooperation Organization),2.09,0.00291,1
18646,2016,300,Greece,3307,African Union,0.0,0.0,0
18647,2016,300,Greece,3310,"ADB (African Development Bank), developing member countries",1.141,0.00159,1
18648,2016,300,Greece,3311,ADB: Group A,1.141,0.00159,1
18649,2016,300,Greece,3312,ADB: Group B,0.0,0.0,0
18650,2016,300,Greece,3313,ADB: Group C,0.0,0.0,0
18651,2016,300,Greece,332,Haiti,0.0,0.0,0
18652,2016,300,Greece,3320,ECA (Economic Commission for Africa),0.0,0.0,0
18653,2016,300,Greece,3321,ECA: North Africa,0.0,0.0,0
18654,2016,300,Greece,3322,ECA: East Africa,0.0,0.0,0
18655,2016,300,Greece,3323,ECA: Central Africa,0.0,0.0,0
18656,2016,300,Greece,3324,ECA: Southern Africa,0.0,0.0,0
18657,2016,300,Greece,3325,ECA: West Africa,0.0,0.0,0
18658,2016,300,Greece,3330,ECLAC (Economic Commission for Latin America and the Caribbean),0.0,0.0,0
18659,2016,300,Greece,3331,ECLAC: Caribbean,0.0,0.0,0
18660,2016,300,Greece,3332,ECLAC: Latin America,0.0,0.0,0
18661,2016,300,Greece,3340,ESCAP (Economic and Social Commission for Asia and the Pacific),3.231,0.0045,2
18662,2016,300,Greece,3341,ESCAP: Africa,0.0,0.0,0
18663,2016,300,Greece,3342,ESCAP: Latin America,0.0,0.0,0
18664,2016,300,Greece,3343,ESCAP: Europe,71825.611,99.95308,777
18665,2016,300,Greece,3344,ESCAP: East and North-East Asia (ENEA),0.0,0.0,0
18666,2016,300,Greece,3345,ESCAP: North and Central Asia,0.0,0.0,0
18667,2016,300,Greece,3346,ESCAP: South and South-West Asia,2.09,0.00291,1
18668,2016,300,Greece,3347,ESCAP: Pacific,1.141,0.00159,1
18669,2016,300,Greece,3348,ESCAP: Pacific island developing economies (PIDE),0.0,0.0,0
18670,2016,300,Greece,3349,ESCAP: Other area,8.671,0.01207,2
18671,2016,300,Greece,3350,"ESCAP: East and North-East Asia, incl. the Russian Federation",0.0,0.0,0
18672,2016,300,Greece,3355,UNECE (Economic Commission for Europe),71829.436,99.95841,779
18673,2016,300,Greece,3360,"UNECE: Eastern Europe, Caucasus and Central Asia",1.235,0.00172,1
18674,2016,300,Greece,3361,UNECE: West Balkans,3.05,0.00424,1
18675,2016,300,Greece,3370,ESCWA (Economic and Social Commission for Western Asia),8.671,0.01207,2
18676,2016,300,Greece,3371,ESCWA: Arab countries,8.671,0.01207,2
18677,2016,300,Greece,340,Honduras,0.0,0.0,0
18678,2016,300,Greece,3401,EFTA (European Free Trade Association),0.0,0.0,0
18679,2016,300,Greece,3402,EU25 (European Union 2004 … 2007),71821.326,99.94712,775
18680,2016,300,Greece,3404,EU15 (European Union 1995 … 2004),71821.326,99.94712,775
18681,2016,300,Greece,3406,Euro area,71821.326,99.94712,775
18682,2016,300,Greece,3408,EU27 (European Union 2007 … 2013),71821.326,99.94712,775
18683,2016,300,Greece,3410,EU28 (European Union 2013 … 2020),71821.326,99.94712,775
18684,2016,300,Greece,3411,CEFTA (Central European Free Trade Agreement),3.05,0.00424,1
18685,2016,300,Greece,3412,European Union (2020 …),71821.326,99.94712,775
18686,2016,300,Greece,344,"China, Hong Kong SAR",0.0,0.0,0
18687,2016,300,Greece,3501,MSG (Melanesian Spearhead Group),0.0,0.0,0
18688,2016,300,Greece,352,Iceland,0.0,0.0,0
18689,2016,300,Greece,356,India,0.0,0.0,0
18690,2016,300,Greece,360,Indonesia,0.0,0.0,0
18691,2016,300,Greece,3601,Northern America and Europe,71827.346,99.9555,778
18692,2016,300,Greece,3602,Central and Southern Asia,0.0,0.0,0
18693,2016,300,Greece,3603,Eastern and South-Eastern Asia,0.0,0.0,0
18694,2016,300,Greece,3604,Western Asia and Northern Africa,10.761,0.01498,3
18695,2016,300,Greece,364,Iran (Islamic Republic of),0.0,0.0,0
18696,2016,300,Greece,368,Iraq,0.0,0.0,0
18697,2016,300,Greece,372,Ireland,0.0,0.0,0
18698,2016,300,Greece,376,Israel,0.0,0.0,0
18699,2016,300,Greece,380,Italy,16.783,0.02336,3
18700,2016,300,Greece,384,Côte d'Ivoire,0.0,0.0,0
18701,2016,300,Greece,388,Jamaica,0.0,0.0,0
18702,2016,300,Greece,3901,APEC (Asia-Pacific Economic Cooperation),1.735,0.00241,1
18703,2016,300,Greece,3903,CIS (Commonwealth of Independent States),0.0,0.0,0
18704,2016,300,Greece,3905,OECD (Organisation for Economic Cooperation and Development),71825.151,99.95244,777
18705,2016,300,Greece,3906,OPEC (Organization of the Petroleum Exporting Countries),5.5,0.00765,1
18706,2016,300,Greece,3907,"ACP (African, Caribbean and Pacific Group of States)",1.141,0.00159,1
18707,2016,300,Greece,3908,LAS (League of Arab States),8.671,0.01207,2
18708,2016,300,Greece,3909,OIC (Organisation of Islamic Cooperation),13.811,0.01922,4
18709,2016,300,Greece,3910,OAS (Organization of American States),1.735,0.00241,1
18710,2016,300,Greece,3912,G7 (Group of Seven),18.518,0.02577,4
18711,2016,300,Greece,3913,G8 (Group of Eight),18.518,0.02577,4
18712,2016,300,Greece,3916,G20 (Group of Twenty),71825.151,99.95244,777
18713,2016,300,Greece,3919,G-77 (Group of 77),9.812,0.01365,3
18714,2016,300,Greece,392,Japan,0.0,0.0,0
18715,2016,300,Greece,3921,GSTP (Global System of Trade Preferences among Developing Countries),0.0,0.0,0
18716,2016,300,Greece,3922,GSTP: Africa,0.0,0.0,0
18717,2016,300,Greece,3923,GSTP: Latin America,0.0,0.0,0
18718,2016,300,Greece,3924,GSTP: Asia,0.0,0.0,0
18719,2016,300,Greece,3932,TPP (Trans-Pacific Partnership),0.0,0.0,0
18720,2016,300,Greece,3940,ACP: Africa,0.0,0.0,0
18721,2016,300,Greece,3941,ACP: Western Africa,0.0,0.0,0
18722,2016,300,Greece,3942,ACP: Eastern Africa,0.0,0.0,0
18723,2016,300,Greece,3943,ACP: Central Africa,0.0,0.0,0
18724,2016,300,Greece,3944,ACP: Southern Africa,0.0,0.0,0
18725,2016,300,Greece,3945,ACP: Caribbean,0.0,0.0,0
18726,2016,300,Greece,3946,ACP: Pacific,1.141,0.00159,1
18727,2016,300,Greece,3947,ACP: LDCs,0.0,0.0,0
18728,2016,300,Greece,3948,ACP: LLDCs,0.0,0.0,0
18729,2016,300,Greece,3949,ACP: islands states,0.0,0.0,0
18730,2016,300,Greece,3950,ACP: Northern Africa,0.0,0.0,0
18731,2016,300,Greece,398,Kazakhstan,0.0,0.0,0
18732,2016,300,Greece,400,Jordan,0.0,0.0,0
18733,2016,300,Greece,404,Kenya,0.0,0.0,0
18734,2016,300,Greece,408,"Korea, Dem. People's Rep. of",0.0,0.0,0
18735,2016,300,Greece,410,"Korea, Republic of",0.0,0.0,0
18736,2016,300,Greece,414,Kuwait,0.0,0.0,0
18737,2016,300,Greece,418,Lao People's Dem. Rep.,0.0,0.0,0
18738,2016,300,Greece,422,Lebanon,0.0,0.0,0
18739,2016,300,Greece,428,Latvia,0.0,0.0,0
18740,2016,300,Greece,430,Liberia,0.0,0.0,0
18741,2016,300,Greece,434,Libya,0.0,0.0,0
18742,2016,300,Greece,438,Liechtenstein,0.0,0.0,0
18743,2016,300,Greece,440,Lithuania,0.0,0.0,0
18744,2016,300,Greece,442,Luxembourg,0.0,0.0,0
18745,2016,300,Greece,446,"China, Macao SAR",0.0,0.0,0
18746,2016,300,Greece,450,Madagascar,0.0,0.0,0
18747,2016,300,Greece,458,Malaysia,0.0,0.0,0
18748,2016,300,Greece,462,Maldives,0.0,0.0,0
18749,2016,300,Greece,470,Malta,0.0,0.0,0
18750,2016,300,Greece,474,Martinique,0.0,0.0,0
18751,2016,300,Greece,478,Mauritania,0.0,0.0,0
18752,2016,300,Greece,480,Mauritius,0.0,0.0,0
